#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DJI_AIR_2S,_field,_measurement
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:43.926Z,202,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:45.612Z,204.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:47.298Z,206,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:48.984Z,207.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:50.67Z,210,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:52.356Z,211.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:54.042Z,213,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:55.728Z,215,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:57.414Z,216,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:59.1Z,217,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:00.786Z,219.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:02.472Z,221,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:04.158Z,223,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:05.844Z,225,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:07.53Z,226,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:09.216Z,227,Basic_metrics,FlightTime,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:31.428Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:33.114Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:34.8Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:36.486Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:38.172Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:39.858Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:41.544Z,-3.5500000715255737,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:43.23Z,-0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:44.916Z,2.5,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:46.602Z,-0.05000000074505806,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:48.288Z,0.5,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:49.974Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:51.66Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:53.346Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:55.032Z,-1.2000000476837158,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:56.718Z,-1.899999976158142,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:58.404Z,1.9500000178813934,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:00.09Z,-3.5,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:01.776Z,-0.699999988079071,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:03.462Z,0.20000001043081284,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:05.148Z,-0.4000000059604645,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:06.834Z,-0.20000000298023224,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:08.52Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:10.206Z,-3.5999999046325684,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:11.892Z,2.749999910593033,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:13.578Z,7.300000190734863,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:15.264Z,2.100000001490116,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:16.95Z,0.699999988079071,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:18.636Z,2,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:20.322Z,-1.0500000230967999,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:22.008Z,-6.400000095367432,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:23.694Z,-1.7999999523162842,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:25.38Z,1,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:27.066Z,1,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:28.752Z,0.44999998807907104,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:30.438Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:32.124Z,-1.399999976158142,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:33.81Z,0.30000001192092896,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:35.496Z,-0.20000000298023224,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:37.182Z,0.15000000596046448,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:38.868Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:40.554Z,0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:42.24Z,0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:43.926Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:45.612Z,-1.2000000476837158,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:47.298Z,1.2000000476837158,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:48.984Z,-0.3499999940395355,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:50.67Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:52.356Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:54.042Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:55.728Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:57.414Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:59.1Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:00.786Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:02.472Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:04.158Z,-0.05000000074505806,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:05.844Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:07.53Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:09.216Z,0,Basic_metrics,VelocityX,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:31.428Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:33.114Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:34.8Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:36.486Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:38.172Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:39.858Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:41.544Z,-0.800000011920929,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:43.23Z,-0.44999998807907104,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:44.916Z,-0.4000000059604645,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:46.602Z,-0.15000000596046448,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:48.288Z,2.0999999046325684,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:49.974Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:51.66Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:53.346Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:55.032Z,0.4000000059604645,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:56.718Z,0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:58.404Z,-0.5500000007450581,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:00.09Z,0.800000011920929,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:01.776Z,1.2999999523162842,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:03.462Z,-2.199999988079071,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:05.148Z,1.600000023841858,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:06.834Z,0.800000011920929,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:08.52Z,0,Basic_metrics,VelocityY,Dji
